file_name,truth,height,width
9YiQ0BIbp1.png,is,84,90
WMbwJFodLz.png,some,81,220
cLTeKgFiAP.png,over,81,175
hSuBXzfQjm.png,function,162,297
sTT0Fi85vh.png,to,122,108
nciCWhQCYK.png,journal,137,301
zrn2WkfS5J.png,feature,108,234
5sCYYjIRjX.png,a,93,97
Z77YTl1skT.png,in,80,93
Zhhbr4kGdx.png,problem,132,363
09Nsu1lsjY.png,models,77,255
c4Z90AZtqh.png,data,109,179
w0ZtaM1Xd1.png,I,92,88
6wG6Z1V5Qm.png,feature,128,236
U3ivEQrZTj.png,to,71,136
w5ZMkNyAoZ.png,to,72,97
QhKoImaiZ0.png,reduction,109,451
4VtqtafTJL.png,values,92,200
YNvbzunF2L.png,it,71,93
qvo7jnSnD6.png,overfitting,168,507
ZluqLVK7OJ.png,to,98,92
T5X4Dd8syE.png,extract,92,288
V7KI6bktlA.png,you,122,179
qlaRa0Y0Bx.png,search,96,276
naOhOx0KyX.png,applying,161,339
k550W10NNn.png,Short,113,195
nOfZr4dNqn.png,and,101,170
t4UDgBRSpK.png,trust,77,234
nv2gsuUsyb.png,remember,105,337
HlVjD5ID9b.png,Convolution,137,342
DJMragTpbH.png,Model,120,282
x4CvBUMvpO.png,in,91,147
YK5AhpCQR5.png,data,109,241
GBsEij4i91.png,contextual,93,454
rEGXTz8Nor.png,depends,102,324
mVmZO5lLnG.png,value,104,232
YrWrlvAq9k.png,each,90,232
JknBTyyvjD.png,superior,84,306
fVqD7XRx7A.png,Understand,90,441
1oXcPXlJw4.png,use,76,174
TCr3mNPaMf.png,data,66,176
cgS5UvwEuK.png,RNN,106,246
zrekBg8Kv0.png,finds,148,191
UHvD0jF4CH.png,Neural,74,268
Ljo9fk36kZ.png,features,121,369
CYS3X7P87l.png,if,117,106
jRQh2fIoIE.png,The,113,219
CeSA2njo0M.png,in,85,147
h1yC5huMCU.png,data,97,189
J5BONkZFms.png,is,97,106
fgKbTlXp2X.png,N,85,93
86TUmjvwnx.png,data,101,205
NctGHuU7T8.png,sequence,154,509
M2VEQdCrDM.png,what,98,200
EYW8WiwxRP.png,DBM,114,245
cEF1jCSVjv.png,Deep,114,167
qrjEXixehC.png,a,69,74
0yKYJNgVlF.png,what,102,220
YeIIMRsgWD.png,you,96,130
2OBUdbAzE0.png,complex,114,284
qlq7izZUC7.png,parameters,95,341
2Er27ry6u2.png,from,128,209
6JWnunnjoC.png,deeper,115,282
bDV2aTdZoc.png,you,100,122
J5SytPQWi3.png,staying,158,334
FBGOUR2uLU.png,many,121,248
DxsD2FcXRk.png,Learning,137,289
XwCo0cuENG.png,look,79,189
PBvfKPMZcw.png,be,98,133
hxVBVgnZBh.png,recognition,104,409
bfW2EaFQx0.png,How,92,160
WWr2k06UF3.png,to,94,143
aEHP9uCRxx.png,different,143,363
OZl2BdyWkD.png,isolation,136,440
nnmE9H9eqb.png,a,49,66
yX0jIZn1jt.png,added,96,245
I0WENCFtS6.png,number,68,284
5uxZXY4nsE.png,for,128,147
hanxsD9Big.png,a,53,117
Px1Hjhfbhy.png,that,104,196
5ZjcnJRD8E.png,The,89,181
PjsPA2YO9L.png,hidden,106,313
ljlblvPYtt.png,data,65,222
pMZ9ZAGDkM.png,goal,105,187
3sgxIQteA9.png,GPU,117,250
38qBN6yBOX.png,forward,119,305
w3hC9VIF7z.png,look,109,195
QwdaYxRSOh.png,the,76,119
90i9fWLIdg.png,is,88,102
nheam7E2gN.png,looking,131,277
n5uJMGYMYf.png,decrease,97,328
rwXtdH0dm8.png,images,133,324
rUBSvSZotM.png,Each,90,193
Nj4GLg5z6l.png,don't,101,218
U9V4wWnhCK.png,Recurrent,90,332
E3VmrQB0sv.png,Modeling:,147,448
Nd2jb9LKx2.png,predict,123,372
CYpNBv9EWu.png,is,87,90
RYVIVNUBY4.png,to,96,113
OksVOYJEJY.png,solved,98,242
qbQ9kDFMb5.png,computationally,173,679
eRU2CtLju7.png,stack,95,263
ErU3WF5Ejc.png,is,90,67
x2mMbbdgEF.png,series,76,271
mBF2S47tHj.png,To,99,149
U1H36FQ6f4.png,decide,105,310
FtDDFYzmpD.png,continued,85,357
sRsTEA8BCi.png,a,80,93
OZLzer3qZQ.png,as,69,90
WgHfoRAyE5.png,reduces,100,363
Rr9nL3Xgyg.png,the,93,158
eHrpvSmgxX.png,to,91,88
rGw0zeesrP.png,is,74,101
iy0psIyjI2.png,set.,112,172
kGfAzB5qvJ.png,classify,148,351
t18ni8EQek.png,I,87,110
yKSMmCdySt.png,of,164,96
o8eeLIqhnL.png,stores,82,228
KX9KRctn1d.png,Autoencoder,102,479
0sS7CPzEbG.png,type,96,201
c9KgMeWtTd.png,Language,159,340
283IzsIHnt.png,patterns,116,337
DFiIm3T0ow.png,by,125,107
x3MY5D8vzs.png,a,53,78
3TkkOGvKnt.png,Neural,98,275
SER83MDSaQ.png,processing,130,604
bIK0rAmQt6.png,network,121,369
7abx8zwXaM.png,notes,85,200
ujRFcpqLMY.png,and,86,154
KMfpOCMiQv.png,to,98,112
IpjdS2lv5L.png,Convolutional,91,414
cdJiyVBZwp.png,...,464,783
2vYVJMZHSR.png,should,124,239
Fozt7WVNrl.png,reduce,93,322
8XmCwgVvqG.png,different,110,371
6E7enAPf2s.png,data,81,203
OZJH7TSrvW.png,you,118,144
rYYBXu9lwi.png,weight),146,353
GO3yR8z6UJ.png,to,79,131
7yFAeLvqhO.png,the,68,159
b4uVX0m9Uw.png,autocorrect,89,444
8kaMIGaWIZ.png,DBM,110,206
e7RHvbKiUQ.png,later.,94,304
0xQMvioR8Q.png,of,132,117
cvXpaGLUF3.png,perplexity,121,428
TwCbnfepRi.png,on,56,123
uICvtYux2b.png,finding,184,359
K9xEbSxrR5.png,what,131,234
pNiyZZ8kRS.png,into,95,205
hcRvWuxmT9.png,lines,97,198
9DPBtmO1u6.png,pattern,97,285
e8ZlQyLyj5.png,a,80,100
PNVMxEJsWY.png,new,73,186
g35XXCQG4L.png,usually,136,308
mYQtiIhXih.png,This,124,225
J3hwZp0PjS.png,stored,84,196
SARNuHX2kt.png,...,129,134
VdbC8DW28w.png,like,92,165
lEvbcLmO8s.png,the,108,203
Air4rAWOlz.png,is,99,115
RIBKSBcNAb.png,for,145,145
rU7UID1Wud.png,How,95,174
w1ozyKakmZ.png,higher,131,242
0RuyYzJafA.png,representation,95,474
OG8qMzCUhg.png,logistic,112,319
gAF6C5qR2I.png,Building,189,400
wlL5R6I7K1.png,draw,68,234
tY9HGhhbiO.png,shapes,138,255
0oHmvgKpc8.png,gate,114,193
ZX67jxpE3C.png,Read,104,211
0fhKirrYrw.png,of,150,87
RFvpOHB0SR.png,against,147,348
D2uIcgVUYy.png,of,162,88
ZWP80QZ2ju.png,sequence,117,418
C0lwhGWnhX.png,of,135,100
n7MDsJJwT8.png,this,80,146
rU4hGxzfyw.png,data,80,173
UNXe9YZtCT.png,"them,",100,238
2swJ1L66wP.png,LSTM,106,276
EWwaeDvFZo.png,cat,78,174
4arhhEIe25.png,and,75,164
Dgt5KY6z3f.png,way,113,162
k18VxopBiS.png,and,86,138
utK4VCe7ZR.png,nuance,67,320
KoFC5xKZSu.png,the,81,135
VSYkuJ49cq.png,data,83,191
bO1ssqzTrs.png,different,106,282
Pw5bwhUDNI.png,will,81,172
MN14Wv2hGT.png,the,80,142
1pxqcYNWiF.png,expensive,115,393
DOHygazFIO.png,cannot,82,257
snk5Csbw3D.png,makes.,89,270
FiXT6Pcq8w.png,you,88,170
R4glejiiU8.png,will,91,240
wXH4zExQph.png,instead,97,361
gIBBw8wR7M.png,network,91,369
5HF3cfu37g.png,for,128,106
jDCbsRTmAt.png,plans,118,202
L1F3qsKZWU.png,Long,177,185
hobMjauALs.png,May,136,174
CfNyogBsst.png,code,103,237
mtRzLWWvlo.png,I,86,85
7ABBHYoecM.png,images,134,300
MsgFOOvdX4.png,windows,89,243
VHo5kCOMxm.png,padding,126,415
PPRSrkxf9K.png,For,120,173
DYryFSuUku.png,to,82,98
98lOHs7EHm.png,is,63,92
Jfrr7VgdkV.png,needs,68,227
lWYhPfLIqt.png,it,95,97
A4ujRAi6ab.png,object,148,252
FLiIoCU3be.png,of,166,99
SdYGQRGfbb.png,think,108,234
M6ANUhIf8k.png,in,113,157
zr5YPllJn4.png,keep gate,114,416
UwhIVL1Up7.png,...,72,210
Gt9znEYjPI.png,the,90,152
WgP068s3ri.png,actually,119,342
P2HRlFii5j.png,classes.,87,258
Mmaq5LPWv6.png,uses,58,187
jDpVIu3gEG.png,fairly,165,253
wTTd3f2zWz.png,in,89,131
iHAWLah9r9.png,one,61,154
9H6pBx3IU7.png,feed,158,177
6fq1fvlkPV.png,speech,123,295
a28aOkikqL.png,has,102,189
Kwjq1M6T9k.png,the,82,154
PNChcw6JK6.png,allow,98,268
rBVvjU0drY.png,...,2,80
uu1RqHi9gJ.png,seems,104,261
VxRHGBG2lp.png,Must,96,197
Ac7w6UWpf7.png,best,94,174
nCI7M3WUyv.png,kernels,107,314
gTL8ChvfFG.png,the,108,165
nl8DCqKoU0.png,Lab,105,158
ieAQdwQhHC.png,given,74,218
BEa3shbdFw.png,on,67,134
mI63j7bK1n.png,a,75,106
5AbilAE3ve.png,CNN,113,237
S6EX9jcbjX.png,probability,203,544
l5yjzX9C54.png,Requires,150,408
r75ZQyivKp.png,and,94,155
pMybOZOGWQ.png,of,121,115
wGm4kdzi0X.png,was,54,142
9aRj15A79S.png,Deep,95,133
1EMyfwIYS4.png,is,95,62
D6gFAUmDlV.png,step,120,211
7X47YGRKay.png,gates:,98,353
IaWNVhdqCp.png,context,102,388
PF1S6hao2k.png,out,75,165
VAFI4NQ2Ey.png,be,99,141
j2CJFg5jIN.png,find,147,189
K5zSeOMcQH.png,these,85,198
5ZseYYwuqb.png,Used,110,176
FtZ7fGr79c.png,is,90,95
wJpdjHeEzf.png,google,117,223
OrT2u7Y9ka.png,a,43,116
W7oDua1N4O.png,computationally,108,560
SEC0lCHstZ.png,to,85,125
YxPguw0opl.png,by,161,116
0K9mDCnRPa.png,to,91,121
hU0oanDP0O.png,whether,112,340
BlitCZJ1ZX.png,much,95,188
1kxwTNwaH8.png,of,149,109
EWdUc97ygu.png,decides,115,285
wd5Gklmkgt.png,the,95,194
RiWfg8UX5S.png,Cons,102,151
i4FU2V6eTe.png,I,88,119
Ny15jTO33Y.png,is,77,85
rFXtGiyDwC.png,used,80,191
TrCHHURDUz.png,"edges,",104,253
rgndvM0FcE.png,model,101,248
dUjy9F7ICm.png,lack,96,215
alHvHzKjUN.png,objext,125,219
7SbghRDG4f.png,what,91,216
uughcO0N1l.png,Input,109,260
j42CwwDiQz.png,cons,76,161
4ebKN4imPy.png,efficiency,129,443
EU3F7VQw5H.png,common,102,288
VAmacSiAjQ.png,to,82,180
s4ihCYnyXv.png,...,16,307
hH3w5y2Qrd.png,notebook.,92,338
YGk3xHAXdV.png,...,1,6
zjwGzEq2F0.png,for,129,180
0C20NIKz0S.png,we need,98,360
XjnzbeK9Kc.png,model,77,254
sHQAz7yCnq.png,RNN,116,265
nozOPqsCtw.png,next,83,256
zEnWyMMUaW.png,to,110,124
ubkyzRq7gB.png,Output,102,267
XdLdAbgObM.png,inputs,136,278
sHKdI4KAw8.png,sequential,144,438
rwWbXMYvku.png,features,130,322
N4GjPR1Hmj.png,transitional,110,418
MwEgUBXCIh.png,Low,108,182
OM7EhQtVPJ.png,the,69,166
6sH6ILfkUy.png,only,141,187
cWYAyUQM8x.png,speech,96,273
6z96xri9k9.png,the,106,175
20ZABRYJdM.png,networks.,98,347
wRYVaNCuZN.png,to,80,109
WYnpuLgLRY.png,perplecity,152,447
8bXfSzSURI.png,use,78,166
WPstAeNb85.png,augmentation,148,561
ZOB5hi9ypa.png,the,111,167
12Lg29fuzq.png,connected,99,304
Q6H2WHgNJF.png,filters,116,238
eZXDkSgr23.png,feed,129,207
6BAnDSm4IL.png,better,129,295
tesLFz5WlI.png,kernels,90,351
MNEBego26R.png,add,95,220
woY9hFKieo.png,word,101,239
Dh5uXncQ8P.png,Fully,160,194
oq3bNSmSjD.png,most,100,237
